Player,Total Score,Batting Score,Bowling Score,Runs Scored,Wickets Taken,Balls Faced,Batting SR,Batting AVG,Runs Score,Batting AVG Score,Batting SR Score,Wickets Score,Runs Conceded,Balls Bowled,Bowling AVG,Bowling AVG Score,Bowling SR,Bowling SR Score
DA Miller,1.913179730717044,3.826359461434088,0.0,81.0,,67.0,120.89552238805967,16.2,1.7714285714285714,1.0785714285714283,0.976359461434088,,,,,,,
J Fraser-McGurk,1.89512228842586,3.79024457685172,0.0,81.0,,64.0,126.5625,11.571428571428571,1.7714285714285714,0.9132653061224488,1.1055506993006994,,,,,,,
Shubham Ranjane,1.8910714285714287,3.7821428571428575,0.0,89.0,,91.0,97.8021978021978,29.666666666666668,1.847619047619048,1.5595238095238095,0.375,,,,,,,
AJ Pienaar,1.7426659406167604,3.485331881233521,0.0,78.0,,61.0,127.8688524590164,3.0,1.7428571428571429,0.6071428571428571,1.1353318812335211,,,,,,,
NR Kumar,1.7278014668258572,3.4556029336517144,0.0,84.0,,82.0,102.4390243902439,16.8,1.8,1.1,0.5556029336517141,,,,,,,
H Richards,1.6108331323848566,3.221666264769713,0.0,35.0,,29.0,120.6896551724138,11.666666666666666,1.3333333333333333,0.9166666666666666,0.9716662647697132,,,,,,,
IG Holland,1.3972253155018053,0.0,2.7944506310036106,,2.0,,,,,,,1.2857142857142856,71.0,42.0,35.5,0.6819757819090433,21.0,0.8267605633802817
Hammad Azam,1.3898809523809526,2.779761904761905,0.0,20.0,,23.0,86.95652173913044,20.0,1.1904761904761905,1.2142857142857144,0.375,,,,,,,
SR Taylor,1.388911088911089,2.777822177822178,0.0,18.0,,16.0,112.5,9.0,1.1714285714285717,0.8214285714285714,0.784965034965035,,,,,,,
AJ Hosein,1.377250735135286,0.0,2.754501470270572,,2.0,,,,,,,1.2857142857142856,80.0,43.0,40.0,0.652475360121304,21.5,0.816311824434982
Milind Kumar,1.3541666666666663,2.708333333333333,0.0,50.0,,53.0,94.33962264150944,10.0,1.4761904761904765,0.8571428571428572,0.375,,,,,,,
R Clinton,1.3458333333333334,2.691666666666667,0.0,49.0,,52.0,94.23076923076924,9.8,1.4666666666666668,0.8500000000000001,0.375,,,,,,,
BKEL Milantha,1.2979145854145857,2.5958291708291714,0.0,33.0,,30.0,110.0,1.5,1.3142857142857145,0.5535714285714286,0.7279720279720283,,,,,,,
Shayan Jahangir,1.2880952380952382,2.5761904761904764,0.0,38.0,,50.0,76.0,9.5,1.361904761904762,0.8392857142857143,0.375,,,,,,,
SE Rutherford,1.2625,2.525,0.0,42.0,,48.0,87.5,7.0,1.4,0.75,0.375,,,,,,,
TH David,1.226785714285714,2.4535714285714283,0.0,27.0,,37.0,72.97297297297297,9.0,1.2571428571428571,0.8214285714285714,0.375,,,,,,,
Aaron Jones,1.186607142857143,2.373214285714286,0.0,27.0,,36.0,75.0,6.75,1.2571428571428571,0.7410714285714286,0.375,,,,,,,
L Ngidi,1.1339043942295954,0.0,2.267808788459191,,1.0,,,,,,,1.0,56.0,31.0,56.0,0.5859823459330662,31.0,0.6818264425261245
Nauman Anwar,1.0660714285714286,2.132142857142857,0.0,12.0,,20.0,60.0,4.0,1.1142857142857143,0.6428571428571428,0.375,,,,,,,
DYA Davis,1.0357142857142856,2.071428571428571,0.0,15.0,,17.0,88.23529411764706,1.5,1.1428571428571428,0.5535714285714286,0.375,,,,,,,
K Rabada,1.0315476190476192,2.0630952380952383,0.0,1.0,,1.0,100.0,1.5,1.0095238095238095,0.5535714285714286,0.5,,,,,,,
J Little,0.9833333333333334,1.9666666666666668,0.0,4.0,,7.0,57.14285714285714,1.5,1.0380952380952382,0.5535714285714286,0.375,,,,,,,
Zia Shahzad,0.9827380952380952,1.9654761904761904,0.0,2.0,,3.0,66.66666666666666,2.0,1.019047619047619,0.5714285714285714,0.375,,,,,,,
